Trial,Participant ID,Cursor X,Cursor Y,Target X,Target Y,Target Width,Distance,Time,Hit Target
0,2,0,0,310,400,40,506.06323,2615,1
1,2,316,404,310,400,40,7.2111025,432,1
2,2,316,404,220,400,40,96.0833,449,1
3,2,219,398,220,400,40,2.236068,549,1
4,2,219,401,310,310,40,128.69344,682,1
5,2,311,304,310,220,40,84.00595,820,1
6,2,309,212,490,310,40,205.82759,515,1
7,2,500,316,310,220,40,212.87555,884,1
8,2,320,223,490,220,40,170.02647,516,1
9,2,495,222,310,400,40,256.72748,581,1
10,2,311,410,490,490,40,196.06377,617,1
11,2,487,493,310,400,40,199.94499,667,1
12,2,314,403,490,220,40,253.89958,1351,1
13,2,489,229,220,310,40,280.9306,751,1
14,2,221,305,310,400,40,130.1768,531,1
15,2,310,399,310,490,40,91.0,553,1
16,2,317,496,220,310,40,209.77368,667,1
17,2,220,307,490,220,40,283.6706,682,1
18,2,491,223,400,400,40,199.02261,699,1
19,2,396,402,220,490,40,196.77399,599,1
20,2,216,481,310,310,40,195.13329,651,1
21,2,305,315,490,310,40,185.06755,534,1
22,2,507,311,220,310,40,287.00174,615,1
23,2,222,312,310,310,40,88.02273,451,1
24,2,302,306,220,490,40,201.44478,501,1
25,2,217,505,490,220,40,394.6568,715,1
26,2,477,229,490,220,40,15.811388,617,1
27,2,478,229,490,220,40,15.0,599,1
28,2,480,229,310,220,40,170.23807,635,1
29,2,322,228,490,220,40,168.19037,750,1
30,2,481,216,400,220,40,81.09871,485,1
31,2,402,214,220,490,40,330.6055,583,1
32,2,223,505,490,490,40,267.42102,815,1
33,2,479,486,400,310,40,192.91708,573,1
34,2,408,305,220,400,40,210.6395,716,1
35,2,211,396,310,310,40,131.13733,550,1
36,2,298,308,220,310,40,78.025635,434,1
37,2,222,307,490,400,40,283.67764,716,1
38,2,502,408,220,220,40,338.9218,718,1
39,2,230,228,490,220,40,260.12305,665,1
40,2,503,231,220,220,40,283.2137,766,1
41,2,227,217,310,220,40,83.0542,535,1
42,2,305,212,220,400,40,206.32256,648,1
43,2,209,401,490,310,40,295.36755,672,1
44,2,484,317,310,400,40,192.78226,562,1
45,2,319,404,220,310,40,136.5174,535,1
46,2,224,311,400,400,40,197.22322,532,1
47,2,413,413,310,490,40,128.60016,534,1
48,2,302,490,220,310,40,197.79788,514,1
49,2,223,307,490,490,40,323.6943,701,1
50,2,487,491,490,490,40,3.1622777,1086,1
51,2,491,492,490,220,40,272.00183,596,1
52,2,500,216,310,220,40,190.0421,517,1
53,2,316,214,220,400,40,209.31316,621,1
54,2,207,400,400,400,40,193.0,749,1
55,2,409,394,490,400,40,81.22192,481,1
56,2,493,402,310,400,40,183.01093,535,1
57,2,321,402,220,400,40,101.0198,465,1
58,2,223,398,400,220,40,251.02391,649,1
59,2,399,215,400,220,40,5.0990195,465,1
60,2,400,217,220,220,40,180.025,600,1
61,2,229,218,220,220,40,9.219544,399,1
62,2,229,218,400,490,40,321.28647,801,1
63,2,410,485,400,400,40,85.58621,484,1
64,2,408,415,310,490,40,123.40584,534,1
65,2,287,506,310,400,40,108.46658,680,1
66,2,314,400,310,310,40,90.088844,468,1
67,2,308,311,310,310,40,2.236068,351,1
68,2,308,311,310,400,40,89.02247,499,1
69,2,308,390,490,310,40,198.80644,550,1
70,2,493,311,220,490,40,326.45062,668,1
71,2,213,501,310,220,40,297.27094,648,1
72,2,304,227,220,220,40,84.29116,415,1
73,2,225,227,220,490,40,263.04752,683,1
74,2,226,488,220,220,40,268.06717,799,1
75,2,224,215,220,400,40,185.04324,668,1
76,2,216,407,220,400,40,8.062258,434,1
77,2,217,404,400,310,40,205.73041,585,1
78,2,392,309,490,310,40,98.005104,515,1
79,2,486,318,310,310,40,176.18172,567,1
80,2,314,315,220,220,40,133.64505,498,1
81,2,230,231,310,400,40,186.9786,718,1
82,2,307,401,490,220,40,257.39075,685,1
83,2,493,222,220,310,40,286.8327,564,1
84,2,221,310,490,490,40,323.66803,633,1
85,2,494,482,490,490,40,8.944272,434,1
86,2,494,482,490,400,40,82.0975,567,1
87,2,493,402,400,490,40,128.03516,432,1
88,2,381,498,310,220,40,286.92334,750,1
89,2,304,208,490,310,40,212.13203,599,1
90,2,500,316,220,400,40,292.32858,700,1
91,2,215,391,490,220,40,323.8302,634,1
92,2,487,217,490,400,40,183.02458,500,1
93,2,475,411,400,220,40,205.19746,733,1
94,2,404,228,220,310,40,201.44478,565,1
95,2,229,306,490,490,40,319.33838,867,1
96,2,494,491,400,310,40,203.95343,701,1
97,2,411,315,400,220,40,95.63472,484,1
98,2,407,216,490,490,40,286.2953,749,1
99,2,493,494,490,400,40,94.04786,483,1
100,2,496,413,400,400,40,96.87621,517,1
101,2,405,404,400,400,40,6.4031243,550,1
102,2,405,404,400,400,40,6.4031243,599,1
103,2,405,404,400,310,40,94.13288,633,1
104,2,403,309,490,310,40,87.005745,549,1
105,2,496,314,490,220,40,94.19129,517,1
106,2,504,224,400,490,40,285.60812,634,1
107,2,397,496,400,310,40,186.02419,783,1
108,2,405,312,220,490,40,256.72748,782,1
109,2,230,484,400,400,40,189.62067,551,1
110,2,401,398,490,490,40,128.0039,517,1
111,2,496,484,310,490,40,186.09676,550,1
112,2,313,496,490,310,40,256.75864,549,1
113,2,498,293,400,400,40,145.09653,582,1
114,2,408,393,220,490,40,211.54904,600,1
115,2,224,483,400,400,40,194.58931,600,1
116,2,395,400,310,310,40,123.79418,566,1
117,2,309,312,310,490,40,178.0028,715,1
118,2,303,485,490,490,40,187.06683,735,1
119,2,496,490,220,310,40,329.50873,902,1
120,2,226,314,400,220,40,197.76755,547,1
121,2,394,219,490,310,40,132.27623,536,1
122,2,490,303,490,220,40,83.0,482,1
123,2,496,222,220,310,40,289.68948,565,1
124,2,215,302,220,220,40,82.1523,504,1
125,2,219,234,220,310,40,76.00658,528,1
126,2,215,308,220,490,40,182.06866,655,1
127,2,215,494,400,220,40,330.60703,714,1
128,2,397,229,400,490,40,261.01724,699,1
129,2,393,485,490,400,40,128.97287,719,1
130,2,496,409,310,310,40,210.70596,569,1
131,2,316,308,310,490,40,182.09888,562,1
132,2,315,482,310,310,40,172.07266,637,1
133,2,320,306,310,220,40,86.579445,513,1
134,2,309,207,400,490,40,297.27094,668,1
135,2,401,500,220,310,40,262.4138,618,1
136,2,211,310,490,220,40,293.15695,614,1
137,2,481,224,490,220,40,9.848858,434,1
138,2,482,224,220,220,40,262.03052,615,1
139,2,225,215,310,490,40,287.83676,599,1
140,2,307,499,310,490,40,9.486833,451,1
141,2,307,499,400,310,40,210.64188,684,1
142,2,400,322,400,400,40,78.0,735,1
143,2,403,405,400,310,40,95.047356,517,1
144,2,405,316,490,400,40,119.503136,548,1
145,2,503,395,220,220,40,332.73712,703,1
146,2,218,219,400,220,40,182.00275,549,1
147,2,404,213,490,400,40,205.82759,665,1
148,2,485,388,490,310,40,78.160095,482,1
149,2,492,314,400,490,40,198.59506,533,1
150,2,394,498,400,490,40,10.0,402,1
151,2,394,498,490,220,40,294.10883,649,1
152,2,482,217,400,400,40,200.5318,582,1
153,2,408,399,310,220,40,204.07106,587,1
154,2,310,215,490,310,40,203.53133,600,1
155,2,490,311,220,220,40,284.9228,532,1
156,2,225,218,220,400,40,182.06866,650,1
157,2,212,404,490,310,40,293.4621,633,1
158,2,491,316,220,490,40,322.05124,681,1
159,2,214,497,400,220,40,333.65402,717,1
160,2,404,217,220,220,40,184.02446,584,1
161,2,219,225,490,220,40,271.0461,651,1
162,2,487,214,400,310,40,129.55693,534,1
163,2,403,312,310,310,40,93.0215,446,1
164,2,303,313,400,400,40,130.29965,520,1
165,2,395,408,400,490,40,82.1523,548,1
166,2,406,500,310,220,40,296.0,616,1
167,2,307,215,220,220,40,87.14356,469,1
168,2,223,219,400,220,40,177.00282,500,1
169,2,400,218,490,490,40,286.50305,532,1
170,2,482,493,220,490,40,262.01718,583,1
171,2,221,495,400,220,40,328.12497,699,1
172,2,406,216,400,220,40,7.2111025,518,1
173,2,406,216,400,220,40,7.2111025,496,1
174,2,406,216,310,220,40,96.0833,503,1
175,2,329,216,220,490,40,294.88474,683,1
176,2,218,487,400,490,40,182.02472,649,1
177,2,396,481,490,490,40,94.42987,601,1
178,2,486,493,400,220,40,286.22543,569,1
179,2,401,220,310,220,40,91.0,812,1
180,2,298,215,310,310,40,95.7549,1353,1
181,2,300,309,220,310,40,80.00625,480,1
182,2,221,309,400,220,40,199.90498,534,1
183,2,402,216,400,220,40,4.472136,403,1
184,2,403,216,220,310,40,205.73041,632,1
185,2,224,312,400,490,40,250.3198,634,1
186,2,424,496,310,310,40,218.15591,665,1
187,2,299,307,220,310,40,79.05694,483,1
188,2,226,315,220,220,40,95.189285,434,1
189,2,214,206,490,400,40,337.36035,532,1
190,2,503,409,220,490,40,294.3637,633,1
191,2,208,488,400,310,40,261.81674,650,1
192,2,388,312,490,400,40,134.71451,631,1
193,2,486,408,400,400,40,86.37129,420,1
194,2,396,409,220,400,40,176.22997,548,1
195,2,212,398,400,310,40,207.57649,467,1
196,2,406,307,400,310,40,6.708204,382,1
197,2,406,307,220,490,40,260.93103,616,1
198,2,218,487,490,400,40,285.57486,517,1
199,2,493,411,220,310,40,291.08417,517,1
200,2,216,298,220,400,40,102.0784,483,1
201,2,211,402,490,310,40,293.77713,484,1
202,2,489,317,310,400,40,197.30687,468,1
